Subject;Description;Type;Status;Priority;Assignee;Parent;Estimated hours;Notes
SEO-001 - Creation propriete GA4;Aller sur analytics.google.com - creer propriete Izymoto - configurer flux web izymoto.com - recuperer ID G-XXXXXXXXXX et le transmettre a Fayssal;Task;New;High;Rahma;EPIC 3 - SEO et Analytics;1;Marketing
SEO-002 - Liaison GA4 Search Console;Linker GA4 et Google Search Console dans Admin > Propriete > Liens produits pour recuperer les requetes Google;Task;New;Normal;Rahma;EPIC 3 - SEO et Analytics;1;
SEO-003 - Integration ID GA4 dans le code;Remplacer le placeholder G-XXXXXXXXXX ligne 201 de app/layout.tsx par le vrai ID;Task;New;High;Fayssal;EPIC 3 - SEO et Analytics;1;Depend de SEO-001 et SEO-004
SEO-004 - Banniere cookies RGPD;Choisir solution (Axeptio paye 30 euros/mois OU solution maison gratuite) et integrer - prerequis legal CNIL avant d'activer GA4 en prod;Task;New;Immediate;Client + Fayssal;EPIC 3 - SEO et Analytics;6;Sans cette banniere GA4 = non conforme CNIL
SEO-005 - Evenements de conversion GA4;Tracker - paiement_reussi - devis_envoye - clic_telephone - inscription_chauffeur - via gtag event;Task;New;Normal;Fayssal;EPIC 3 - SEO et Analytics;3;
SEO-006 - Optimisation GBP izymoto taxi;Fiche Google Business Profile - photos chauffeurs+motos - horaires - descriptions - posts hebdo - strategie collecte avis (1 seul actuellement au 13/05);Task;New;High;Rahma;EPIC 3 - SEO et Analytics;8;
SEO-007 - Plan acquisition reseaux;Strategie editoriale Insta+FB+LinkedIn B2B grand compte - calendrier de publication - templates visuels;Task;New;Normal;Rahma;EPIC 3 - SEO et Analytics;10;
SEO-008 - Strategie blog SEO;Calendrier editorial articles longue traine - mots-cles a cibler - maillage interne pages SEO landing;Task;New;Low;Rahma;EPIC 3 - SEO et Analytics;8;
EPIC 4 - Wallet entreprise Phase 2;Recharge reelle wallet B2B + facturation automatique;Epic;New;Normal;Fayssal;;;
WAL-001 - Validation produit Phase 2;Definir avec le client - montants recharge minimums - bonus selon palier - modele facturation B2B (mensuel ou pre-paye);Task;New;High;Client + Fayssal;EPIC 4 - Wallet entreprise Phase 2;1;
WAL-002 - Recharge wallet reelle;Activer Stripe Checkout pour recharge wallet entreprise - mise a jour wallet doc + transaction Firestore;Task;New;Normal;Fayssal;EPIC 4 - Wallet entreprise Phase 2;4;
WAL-003 - Facturation B2B;Generation factures PDF + email mensuel recap consomation - lib/emails/invoice;Task;New;Normal;Fayssal;EPIC 4 - Wallet entreprise Phase 2;6;
EPIC 5 - Tracabilite et qualite;Outils admin pour suivre les courses sans etre devant l'ecran + notifications client - proposition Phase 2 a chiffrer;Epic;New;Normal;Fayssal;;;
TRACE-001 - Devis client Phase 2;Chiffrer en jours-homme les 6 propositions tracabilite et presenter au client pour validation budget;Task;New;Normal;Fayssal;EPIC 5 - Tracabilite et qualite;1;
TRACE-002 - Timeline visuelle par course;Composant timeline dans ReservationDetailsModal admin - chaque transition statut avec horodatage + acteur;Task;New;Normal;Fayssal;EPIC 5 - Tracabilite et qualite;5;
TRACE-003 - Notifications email admin;Alertes Resend - course en pool depuis +5 min sans chauffeur - course terminee a capturer - chauffeur a libere une course;Task;New;Normal;Fayssal;EPIC 5 - Tracabilite et qualite;4;
TRACE-004 - SMS/Push client;Notif acceptation chauffeur + chauffeur en route + course terminee - via Twilio ou OneSignal;Task;New;Low;Fayssal;EPIC 5 - Tracabilite et qualite;6;
TRACE-005 - Logs audit immuables;Collection Firestore audit_logs - chaque transition statut booking ecrite avec who/when/what - non modifiable apres ecriture (regles);Task;New;Normal;Fayssal;EPIC 5 - Tracabilite et qualite;3;
TRACE-006 - Dashboard stats temps reel;Page admin /admin/dashboard - courses en pool - pourcentage acceptation par chauffeur - temps moyen creation-acceptation - commissions cumulees mensuelles;Task;New;Low;Fayssal;EPIC 5 - Tracabilite et qualite;5;
TRACE-007 - Geolocalisation chauffeur live;Phase 3 - tracker position chauffeur via Firestore - afficher sur Google Maps cote admin et cote client;Task;New;Low;Fayssal;EPIC 5 - Tracabilite et qualite;10;
EPIC 6 - Conformite et juridique;Cadrage legal de la relation Izymoto/chauffeurs/clients;Epic;New;High;Client;;;
LEG-001 - Cadrage statut chauffeurs;Valider avec le client - chauffeurs auto-entrepreneurs obligatoires + carte capacite moto-taxi T3P + permis A + assurance pro - aucun chauffeur non declare accepte;Task;New;Immediate;Client + Fayssal;EPIC 6 - Conformite et juridique;1;Risque penal pour le client si chauffeurs non declares - 75k euros amende + 3 ans prison
LEG-002 - CGU et CGV mise a jour;Mettre a jour CGU/CGV avec un avocat pour cadrer la relation Izymoto/chauffeur/client (commission 20 pour cent - statuts chauffeurs - flux paiement - litiges);Task;New;High;Client + avocat;EPIC 6 - Conformite et juridique;0;Budget avocat a prevoir
LEG-003 - Mentions legales chauffeurs;Ajouter section Conditions chauffeurs sur le site - pre-requis statut/permis/assurance/capacite;Task;New;Normal;Rahma + Fayssal;EPIC 6 - Conformite et juridique;2;
